"Gene" "control diet" "LIDPAD_48weeks"
"1" "XKR4" 4.8042086246255 5.46915356393888
"2" "RP1" 4.8042086246255 4.8042086246255
"3" "SOX17" 5.77917395300072 5.84236529308121
"4" "MRPL15" 8.10779404555052 8.02112957656484
"5" "LYPLA1" 9.07187278120051 9.05843038431135
"6" "TCEA1" 8.72889696301099 8.55259848382422
"7" "RGS20" 4.8042086246255 4.8042086246255
"8" "ATP6V1H" 8.43467389235442 8.52609608697277
"9" "OPRK1" 4.8042086246255 4.8042086246255
"10" "NPBWR1" 4.8042086246255 4.8042086246255
"11" "RB1CC1" 9.1048879105722 9.32846148247478
"12" "ALKAL1" 4.8042086246255 4.8042086246255
"13" "ST18" 4.8042086246255 5.1388808441977
"14" "PCMTD1" 10.2844444742319 9.76822774084826
"15" "SNTG1" 5.50004280587026 6.56116224815313
"16" "RRS1" 6.79397135437005 6.80162379386341
"17" "" 8.67117319108636 8.90047041330906
"18" "VXN" 5.15464567659484 5.38132291929405
"19" "MYBL1" 5.4082548872665 6.27657537279415
"20" "VCPIP1" 8.80061533002041 8.86339395248288
"21" "C8orf44-SGK3" 7.37780023436558 7.80608656948823
"22" "MCMDC2" 5.15464567659484 5.46915356393888
"23" "SNORD87" 5.15464567659484 4.8042086246255
"24" "TCF24" 5.23288184387008 5.58141322656787
"25" "PPP1R42" 4.8042086246255 4.8042086246255
"26" "COPS5" 8.10779404555052 7.97366920226228
"27" "CSPP1" 8.12519342900972 8.00405568986301
"28" "ARFGEF1" 9.62192427856243 9.7917946831336
"29" "CPA6" 4.8042086246255 4.8042086246255
"30" "PREX2" 7.63339684883436 8.13519013525816
"31" "C8orf34" 4.8042086246255 5.38132291929405
"32" "SULF1" 5.54138109093382 6.30841677953576
"33" "SLCO5A1" 4.8042086246255 5.27645734958109
"34" "PRDM14" 4.8042086246255 4.8042086246255
"35" "NCOA2" 9.06069675909029 9.14971543382218
"36" "TRAM1" 10.649968225541 10.0052276733929
"37" "LACTB2" 10.5992429738847 10.2096094298321
"38" "XKR9" 7.62724326869521 7.50962316413946
"39" "EYA1" 5.15464567659484 4.8042086246255
"40" "MSC" 5.15464567659484 5.38132291929405
"41" "TRPA1" 4.8042086246255 4.8042086246255
"42" "TERF1" 6.42121570946038 6.85268426035096
"43" "SBSPON" 5.15464567659484 4.8042086246255
"44" "C8orf89" 4.8042086246255 4.8042086246255
"45" "RPL7" 10.6402645529521 10.3877589303108
"46" "RDH10" 7.57059487063763 7.44057407533407
"47" "STAU2" 6.35706265707959 6.57374037583509
"48" "ELOC" 7.46376151558679 7.34733561272764
"49" "TMEM70" 7.72831754198091 7.75060691302518
"50" "LY96" 5.58034414053573 5.81711929088436
"51" "JPH1" 5.50004280587026 5.04112230666939
"52" "GDAP1" 4.8042086246255 4.8042086246255
"53" "PI15" 4.8042086246255 5.95902987350094
"54" "CRISPLD1" 4.8042086246255 4.8042086246255
"55" "CRISP1" 4.8042086246255 4.8042086246255
"56" "DEFB113" 4.8042086246255 4.8042086246255
"57" "DEFB110" 4.8042086246255 4.8042086246255
"58" "TFAP2D" 4.8042086246255 4.8042086246255
"59" "TFAP2B" 4.8042086246255 4.8042086246255
"60" "PKHD1" 7.55768486649586 9.14393579359795
"61" "MIR206" 4.8042086246255 4.8042086246255
